Sexo,Edades,Grupo etario ,Municipio ,Región,Etnía ,Migrante,Fecha desaparición,Día de la semana,Horario ,Estatus,Fecha localización,Tiempo desap,Rango tiempo,Fuente,Sistematización,,
Mujer,14,12 a 17,"Jiquipilas, Chiapas ",Valle Zoque,Mestiza,No aplica,1/2/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,1/2/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,2,0 a 5,"Venustiano Carranza, Chiapas ",De los llanos,Mestiza,No aplica,1/2/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Hombre,8,6 a 11,"Tonalá, Chiapas ",Istmo-Costa,Mestiza,No aplica,1/3/2020,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Teopisca, Chiapas ",Altos,Indígena,No aplica,1/4/2020,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Teopisca, Chiapas ",Altos,Indígena,No aplica,1/4/2020,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,5,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,1/5/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,Mestiza,No aplica,1/6/2020,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Mezcalapa, Chiapas",Mezcalapa,Mestiza,No aplica,1/8/2020,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,Comitan de Dominguez ,Meseta Comiteca,Mestiza,No aplica,1/9/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,No especificado,No especificado,Mestiza,No aplica,1/11/2020,Sábado,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,Indígena,No aplica,1/11/2020,Sábado,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,9,6 a 11,"Villaflores, Chiapas ",Frailesca,Indígena,No aplica,1/13/2020,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Pijijiapan, Chiapas ",Istmo-Costa,Mestiza,No aplica,1/15/2020,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Chiapa de Corzo, Chiapas ",Metropolitana,Mestiza,No aplica,1/16/2020,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Reforma, Chiapas ",Norte,Mestiza,No aplica,1/16/2020,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
